QStrength	Quantifier	Arg1	Pred	Arg2	Sentence	Score	Canonical?	Multiword?	Inferred?	Domain	Range	Provenance
1.00	most	abdomen	is-part-of	body	Most abdomens are part of bodies.	-	y	n	n	body_part_n1	Thing	WordNet3.0
0.11	some	accelerator	is-part-of	aeroplane	Some accelerators are part of aeroplanes.	-	y	n	n	artifact_n1	transport_n1	WordNet3.0
0.11	some	accelerator	is-part-of	airplane	Some accelerators are part of airplanes.	-	y	n	n	artifact_n1	transport_n1	WordNet3.0
0.11	some	accelerator	is-part-of	ambulance	Some accelerators are part of ambulances.	-	y	n	n	artifact_n1	transport_n1	WordNet3.0
0.11	some	accelerator	is-part-of	auto	Some accelerators are part of autos.	-	y	n	n	artifact_n1	transport_n1	WordNet3.0
0.11	some	accelerator	is-part-of	automobile	Some accelerators are part of automobiles.	-	y	n	n	artifact_n1	transport_n1	WordNet3.0
0.11	some	accelerator	is-part-of	car	Some accelerators are part of cars.	-	y	n	n	artifact_n1	transport_n1	WordNet3.0
0.11	some	accelerator	is-part-of	jet	Some accelerators are part of jets.	-	y	n	n	artifact_n1	transport_n1	WordNet3.0
0.11	some	accelerator	is-part-of	plane	Some accelerators are part of planes.	-	y	n	n	artifact_n1	transport_n1	WordNet3.0
0.11	some	accelerator	is-part-of	taxi	Some accelerators are part of taxis.	-	y	n	n	artifact_n1	transport_n1	WordNet3.0
1.00	most	acorn cup	is-part-of	acorn	Most acorn cups are part of acorns.	-	y	n	n	Thing	plant_part_n1	WordNet3.0
0.50	some	acrosome	is-part-of	semen	Some acrosomes are part of semen.	-	y	n	n	body_part_n1	substance_n1	WordNet3.0
0.50	some	acrosome	is-part-of	sperm	Some acrosomes are part of sperm.	-	y	n	n	body_part_n1	Thing	WordNet3.0
0.20	some	action mechanism	is-part-of	accordion	Some action mechanisms are part of accordions.	-	y	n	n	Thing	device_n1	WordNet3.0
0.20	some	action mechanism	is-part-of	computer	Some action mechanisms are part of computers.	-	y	n	n	Thing	device_n1	WordNet3.0
0.20	some	action mechanism	is-part-of	keyboard	Some action mechanisms are part of keyboards.	-	y	n	n	Thing	device_n1	WordNet3.0
0.20	some	action mechanism	is-part-of	laptop	Some action mechanisms are part of laptops.	-	y	n	n	Thing	device_n1	WordNet3.0
0.20	some	action mechanism	is-part-of	typewriter	Some action mechanisms are part of typewriters.	-	y	n	n	Thing	device_n1	WordNet3.0
1.00	most	Adelaide	is-part-of	Australia	Most Adelaide is part of Australia.	-	y	n	n	Thing	Thing	WordNet3.0
0.05	some	adult body	is-part-of	adult	Some adult bodies are part of adults.	-	y	n	n	Thing	person_n1	WordNet3.0
0.05	some	adult body	is-part-of	counsel	Some adult bodies are part of counsel.	-	y	n	n	Thing	person_n1	WordNet3.0
0.05	some	adult body	is-part-of	dentist	Some adult bodies are part of dentists.	-	y	n	n	Thing	person_n1	WordNet3.0
0.05	some	adult body	is-part-of	doc	Some adult bodies are part of docs.	-	y	n	n	Thing	person_n1	WordNet3.0
0.05	some	adult body	is-part-of	doctor	Some adult bodies are part of doctors.	-	y	n	n	Thing	person_n1	WordNet3.0
0.05	some	adult body	is-part-of	educator	Some adult bodies are part of educators.	-	y	n	n	Thing	person_n1	WordNet3.0
0.05	some	adult body	is-part-of	elder	Some adult bodies are part of elders.	-	y	n	n	Thing	person_n1	WordNet3.0
0.05	some	adult body	is-part-of	headmaster	Some adult bodies are part of headmasters.	-	y	n	n	Thing	person_n1	WordNet3.0
0.05	some	adult body	is-part-of	headmistress	Some adult bodies are part of headmistresses.	-	y	n	n	Thing	person_n1	WordNet3.0
0.05	some	adult body	is-part-of	host	Some adult bodies are part of hosts.	-	y	n	n	Thing	person_n1	WordNet3.0
0.05	some	adult body	is-part-of	instructor	Some adult bodies are part of instructors.	-	y	n	n	Thing	person_n1	WordNet3.0
0.05	some	adult body	is-part-of	librarian	Some adult bodies are part of librarians.	-	y	n	n	Thing	person_n1	WordNet3.0
0.05	some	adult body	is-part-of	midwife	Some adult bodies are part of midwifes.	-	y	n	n	Thing	person_n1	WordNet3.0
0.05	some	adult body	is-part-of	nurse	Some adult bodies are part of nurses.	-	y	n	n	Thing	person_n1	WordNet3.0
0.05	some	adult body	is-part-of	pharmacist	Some adult bodies are part of pharmacists.	-	y	n	n	Thing	person_n1	WordNet3.0
0.05	some	adult body	is-part-of	physician	Some adult bodies are part of physicians.	-	y	n	n	Thing	person_n1	WordNet3.0
0.05	some	adult body	is-part-of	principal	Some adult bodies are part of principal.	-	y	n	n	Thing	person_n1	WordNet3.0
0.05	some	adult body	is-part-of	professor	Some adult bodies are part of professors.	-	y	n	n	Thing	person_n1	WordNet3.0
0.05	some	adult body	is-part-of	quack	Some adult bodies are part of quacks.	-	y	n	n	Thing	person_n1	WordNet3.0
0.05	some	adult body	is-part-of	sophisticate	Some adult bodies are part of sophisticates.	-	y	n	n	Thing	person_n1	WordNet3.0
0.05	some	adult body	is-part-of	teacher	Some adult bodies are part of teachers.	-	y	n	n	Thing	person_n1	WordNet3.0
0.05	some	adult body	is-part-of	vet	Some adult bodies are part of vets.	-	y	n	n	Thing	person_n1	WordNet3.0
0.33	some	aerial	is-part-of	receiver	Some aerials are part of receivers.	-	y	n	n	device_n1	equipment_n1	WordNet3.0
